
[Job Tracker] Initialized job: train-mountaincar-5005804f
[Job Tracker] Job directory: jobs/train-mountaincar-5005804f
[Job Tracker] Output log: jobs/train-mountaincar-5005804f/train.log

=== TRAINING MODE ===
Maximum generations: 200
Population size: 60
Mutation rate: 0.2
Crossover rate: 0.5
Generation interval: 0.5
Episodes per evaluation: 3
Parallel workers: 8
Training MountainCar agent with PyTorch + PyMOO
Generations: 200, Population: 60
Network architecture: 2 -> [16, 8] -> 1
==============================================================================================
n_gen  |  n_eval  |     f_avg     |     f_min     |  reward_max  |  reward_avg  | reward_best 
   106 |     6360 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   107 |     6420 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   108 |     6480 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   109 |     6540 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   110 |     6600 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   111 |     6660 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   112 |     6720 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   113 |     6780 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   114 |     6840 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   115 |     6900 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   116 |     6960 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   117 |     7020 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   118 |     7080 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   119 |     7140 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   120 |     7200 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   121 |     7260 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   122 |     7320 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   123 |     7380 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   124 |     7440 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   125 |     7500 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   126 |     7560 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   127 |     7620 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   128 |     7680 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   129 |     7740 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   130 |     7800 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   131 |     7860 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   132 |     7920 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   133 |     7980 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   134 |     8040 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   135 |     8100 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   136 |     8160 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   137 |     8220 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   138 |     8280 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   139 |     8340 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   140 |     8400 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   141 |     8460 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   142 |     8520 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   143 |     8580 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   144 |     8640 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   145 |     8700 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   146 |     8760 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   147 |     8820 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   148 |     8880 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   149 |     8940 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   150 |     9000 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   151 |     9060 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   152 |     9120 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   153 |     9180 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   154 |     9240 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   155 |     9300 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   156 |     9360 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   157 |     9420 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   158 |     9480 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   159 |     9540 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   160 |     9600 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   161 |     9660 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   162 |     9720 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   163 |     9780 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   164 |     9840 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   165 |     9900 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   166 |     9960 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   167 |    10020 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   168 |    10080 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   169 |    10140 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   170 |    10200 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   171 |    10260 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   172 |    10320 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   173 |    10380 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   174 |    10440 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   175 |    10500 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   176 |    10560 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   177 |    10620 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   178 |    10680 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   179 |    10740 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   180 |    10800 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   181 |    10860 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   182 |    10920 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   183 |    10980 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   184 |    11040 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   185 |    11100 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   186 |    11160 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   187 |    11220 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   188 |    11280 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   189 |    11340 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
