
[Job Tracker] Initialized job: train-mountaincar-8ad2d957
[Job Tracker] Job directory: jobs/train-mountaincar-8ad2d957
[Job Tracker] Output log: jobs/train-mountaincar-8ad2d957/train.log

=== TRAINING MODE ===
Maximum generations: 200
Population size: 60
Mutation rate: 0.08
Crossover rate: 0.9
Generation interval: 0.5
Episodes per evaluation: 3
Parallel workers: 8
Training MountainCar agent with PyTorch + PyMOO
Generations: 200, Population: 60
Network architecture: 2 -> [16, 8] -> 1
==============================================================================================
n_gen  |  n_eval  |     f_avg     |     f_min     |  reward_max  |  reward_avg  | reward_best 
   186 |    11160 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   187 |    11220 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   188 |    11280 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   189 |    11340 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   190 |    11400 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   191 |    11460 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   192 |    11520 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   193 |    11580 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   194 |    11640 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   195 |    11700 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   196 |    11760 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   197 |    11820 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   198 |    11880 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   199 |    11940 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
   200 |    12000 |  1.276667E+02 |  1.276667E+02 |      -127.67 |      -127.67 |      -127.67
Model saved:
- PyTorch model: jobs/train-mountaincar-8ad2d957/mountaincar_best.pth
- Weights vector: jobs/train-mountaincar-8ad2d957/mountaincar_weights.npy
- Learning curve: jobs/train-mountaincar-8ad2d957/mountaincar_learning_curve.png

Training completed!
Best fitness: -127.67
Success threshold: -110
Training completed after 200 generations. Best fitness: -127.67

=== EVALUATING TRAINED AGENT ===
Testing trained agent without rendering:
Episode 1: reward = -137.0
Episode 2: reward = -138.0
Episode 3: reward = -137.0
Episode 4: reward = -113.0
Episode 5: reward = -140.0
Episode 6: reward = -113.0
Episode 7: reward = -140.0
Episode 8: reward = -116.0
Episode 9: reward = -134.0
Episode 10: reward = -198.0

Average reward over 10 episodes: -136.60
Standard deviation: 23.11

Not quite there yet. Average reward -136.60, threshold is -110
[Job Tracker] Promoted best artifacts to top-level: checkpoints/mountaincar_best.pth, checkpoints/mountaincar_weights.npy, checkpoints/mountaincar_learning_curve.png
Loaded PyTorch model from checkpoints/mountaincar_best.pth

=== RECORDING GIF ===
Recorded GIF (139 frames, reward=-138.00) -> assets/mountaincar.gif
